"abilityId","roundId","wave","spawnCount","baseAttackLoad","baseHpLoad","configuredAttackMultiple","configuredHpMultiple","runtimeScaling"
"DI_DEBUFF_eff05","300001","1","1","10","140","28619","30262","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300002","2","2","20","280","28473","31607","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300003","3","2","20","280","37625","43592","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300004","4","2","20","280","45513","54770","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300005","5","2","20","280","54882","68322","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300006","6","3","30","420","57150","73350","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300007","7","3","30","420","68540","90431","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300008","8","3","30","420","82004","110946","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300009","9","3","30","420","97896","135522","host_normal_round_attrMultiple"
"DI_DEBUFF_eff05","300010","10","3","30","420","116632","164893","host_normal_round_attrMultiple"
